estacao1,estacao2,tempo,cor
Luz,Luz,2,black
República,Consolação,2,black
Sé,Sé,2,black
Paraíso,Paraíso,2,black
Ana	Rosa,Ana Rosa,2,black
Chácara Klabin,Chácara Klabin,2,black
Santa	Cruz,Santa Cruz,2,black
Vila Prudente,Tamanduateí,2,black
Republica,Republica,2,black


