estacao1,estacao2,tempo,cor
vila madalena,sumaré,3,verde
sumaré,clínicas,4,verde
clínicas,paulista,4,verde
Paulista/consolação,trianon masp,3,verde
trianon masp,brigadeiro,3,verde
brigadeiro,paraiso,2,verde
paraiso,ana rosa,5,verde
ana rosa,chakara klabin,2,verde
chakara klabin,santos imigrantes,2,verde
santos imigrantes,alto do ipiranga,2,verde
alto do ipiranga,estacao sacoma,2,verde
estacao sacoma,tamanduatei,4,verde
tamanduatei,vila prudente,5,verde
