estacao1,estacao2,tempo,cor
Vila Prudente,Oratório,3,prata
Oratório,São lucas,2,prata
São Lucas,Camilo Haddad,5,prata
Camilo Haddad,Vila Tolstói,5,prata
Vila Tolstói,Vila União,3,prata
Vila União,Jardim Planalto,2,prata
Jardim Planalto,Sapopemba,3,prata
Sapopemba,Fazenda da Juta,2,prata
Fazenda da Juta,São Mateus,2,prata
São Mateus,Jardim Colonial,3,prata

