source,target,path
18882,18987,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18871', '18987']"
18882,18871,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18871']"
18882,18867,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '18867']"
18882,18866,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866']"
18882,18865,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '18865']"
18882,18864,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '18865', '18864']"
18882,18920,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '18865', '18864', '18920']"
18882,4406630,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630']"
18882,4406631,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '4406631']"
18882,6311368,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '4406631', '6311368']"
18882,6311285,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '4406631', '6311368', '6311285']"
18882,18966,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '4406631', '6311368', '6311285', '18966']"
18882,1211339,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '4406631', '6311368', '6311285', '18966', '1211339']"
18882,1211401,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '4406631', '6311368', '6311285', '18966', '1211339', '1211401']"
18882,9607525,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '4406631', '6311368', '6311285', '18966', '1211339', '1211401', '9607525']"
18882,19045,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548', '5306695', '5306694', '5306691', '3407190', '7206945', '7206944', '7206943', '7206877', '19040', '18906', '19042', '19043', '19044', '19045']"
